Name;MC;MP
Bitcoin (Биткоин)BTC;107452331339724.0;55.13%
Ethereum (Эфириум)ETH;36067301819222.0;18.51%
Tether (Тезер)USDT;9710638522964.0;4.98%
BNBBNB;7428283648914.0;3.81%
Solana (Солана)SOL;5892324445341.0;3.02%
USDCUSDC;2783300061106.0;1.43%
XRPXRP;2290176429716.0;1.18%
Toncoin (Тонкоин)TON;1631287690553.0;0.84%
Dogecoin (Догекоин)DOGE;1575093605321.0;0.81%
Cardano (Кардано)ADA;1221959403780.0;0.63%
Avalanche (Аваланч)AVAX;1012437729322.0;0.52%
TRON (ТРОН)TRX;939112028805.0;0.48%
Shiba Inu (Шиба-ину)SHIB;881038359433.0;0.45%
Polkadot (Полькадот)DOT;781285608596.0;0.40%
Chainlink (Чейнлинк)LINK;754236033493.0;0.39%
Bitcoin Cash (Биткоин-кэш)BCH;663920977731.0;0.34%
NEAR ProtocolNEAR;504829835755.0;0.26%
Uniswap (Юнисвап)UNI;483758082646.0;0.25%
Litecoin (Лайткоин)LTC;483373721275.0;0.25%
Polygon (Полигон)MATIC;481268959627.0;0.25%
UNUS SED LEOLEO;462420758503.0;0.24%
DaiDAI;460590713193.0;0.24%
PepePEPE;429026739812.0;0.22%
KaspaKAS;377606041372.0;0.19%
Internet Computer (Интернет-компьютер)ICP;332773927422.0;0.17%
Ethereum ClassicETC;302886382774.0;0.16%
AptosAPT;278477708880.0;0.14%
MoneroXMR;272161990051.0;0.14%
RenderRNDR;262740922974.0;0.13%
HederaHBAR;237201542724.0;0.12%
StellarXLM;230546055691.0;0.12%
CosmosATOM;227824303145.0;0.12%
MantleMNT;227295843972.0;0.12%
ArbitrumARB;224354435182.0;0.12%
FilecoinFIL;219965850783.0;0.11%
StacksSTX;219703810547.0;0.11%
OKBOKB;219219710982.0;0.11%
CronosCRO;213239802485.0;0.11%
MakerMKR;209237158350.0;0.11%
ImmutableIMX;204415067605.0;0.10%
dogwifhatWIF;197529176360.0;0.10%
InjectiveINJ;190562463585.0;0.10%
VeChainVET;189114088248.0;0.10%
SuiSUI;179171009932.0;0.09%
First Digital USDFDUSD;178526473238.0;0.09%
The GraphGRT;176401139639.0;0.09%
OptimismOP;176221234999.0;0.09%
BittensorTAO;168269014072.0;0.09%
ArweaveAR;166346550786.0;0.09%
Lido DAOLDO;157833400119.0;0.08%
OndoONDO;145445047645.0;0.07%
Bitget TokenBGB;143524933214.0;0.07%
FantomFTM;143357806148.0;0.07%
FLOKIFLOKI;141321293494.0;0.07%
BonkBONK;141496057667.0;0.07%
Brett (Based)BRETT;139743175573.0;0.07%
Theta NetworkTHETA;138040121216.0;0.07%
NotcoinNOT;128591156321.0;0.07%
JasmyCoinJASMY;125763888861.0;0.06%
AaveAAVE;125302652845.0;0.06%
THORChainRUNE;121150210050.0;0.06%
Fetch.aiFET;107572189632.0;0.06%
CelestiaTIA;104288710505.0;0.05%
AlgorandALGO;104359448611.0;0.05%
CoreCORE;103824592535.0;0.05%
Pyth NetworkPYTH;102091092738.0;0.05%
JupiterJUP;96436200723.0;0.05%
FlareFLR;90777081261.0;0.05%
Ethereum Name ServiceENS;87477982296.0;0.04%
SeiSEI;89489061595.0;0.05%
StarknetSTRK;87596403355.0;0.04%
KuCoin TokenKCS;82610435019.0;0.04%
FlowFLOW;82168617065.0;0.04%
QuantQNT;81427785547.0;0.04%
GalaGALA;77130885387.0;0.04%
Axie InfinityAXS;77161818735.0;0.04%
Akash NetworkAKT;76843044381.0;0.04%
Bitcoin SVBSV;76354240065.0;0.04%
EOSEOS;74999582433.0;0.04%
BitTorrent [New]BTT;73088989845.0;0.04%
BeamBEAM;72345656263.0;0.04%
ORDIORDI;71037413767.0;0.04%
dYdX (Native)DYDX;70491843156.0;0.04%
NeoNEO;70286667664.0;0.04%
EthenaENA;70115835675.0;0.04%
MultiversXEGLD;70098413167.0;0.04%
PendlePENDLE;68009941039.0;0.03%
SingularityNETAGIX;67812936453.0;0.03%
TezosXTZ;67825566217.0;0.03%
The SandboxSAND;65550342362.0;0.03%
GnosisGNO;64928686756.0;0.03%
USDDUSDD;63236501186.0;0.03%
GateTokenGT;62900397308.0;0.03%
RoninRON;60597048983.0;0.03%
Mog CoinMOG;60171085920.0;0.03%
BOOK OF MEMEBOME;59755426009.0;0.03%
ConfluxCFX;59272874473.0;0.03%
ChilizCHZ;58721256449.0;0.03%
NexoNEXO;58538342509.0;0.03%
OasisROSE;58236924592.0;0.03%
